,Title,Pub_name,DOI,Cover_Date,URL,Link,Main_URL
0,Advances of Nanomaterials in Cancer Photocatalysis Therapy,Materials Today Sustainability,10.1016/j.mtsust.2024.101023,2024-10-29,https://api.elsevier.com/content/article/pii/S2589234724003592,https://api.elsevier.com/content/article/doi/10.1016/j.mtsust.2024.101023?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2589234724003592
1,Multi-pollutant degradation from 2D MoO<ce:inf loc=post>3</ce:inf>/g-C<ce:inf loc=post>3</ce:inf>N<ce:inf loc=post>4</ce:inf>/functional carbon nanomaterial based composite utilizing Z-scheme photocatalysis,Ceramics International,10.1016/j.ceramint.2024.10.144,2024-10-11,https://api.elsevier.com/content/article/pii/S0272884224046571,https://api.elsevier.com/content/article/doi/10.1016/j.ceramint.2024.10.144?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0272884224046571
2,Advancing the eradication of harmful dyes through stereolithography-produced 3D floating photocatalysis: Exploiting the synergistic potential of graphene/MnO<ce:inf loc=post>2</ce:inf>/Fe<ce:inf loc=post>3</ce:inf>O<ce:inf loc=post>4</ce:inf> hybrid nanomaterials,Surfaces and Interfaces,10.1016/j.surfin.2024.104302,2024-05-31,https://api.elsevier.com/content/article/pii/S2468023024004619,https://api.elsevier.com/content/article/doi/10.1016/j.surfin.2024.104302?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2468023024004619
3,"Recent advancement in the sustainable synthesis of BiOX (X = I, Br, and Cl) nanomaterials and their applications in the photocatalysis",Materials Today: Proceedings,10.1016/j.matpr.2023.02.209,2023-03-01,https://api.elsevier.com/content/article/pii/S2214785323007484,https://api.elsevier.com/content/article/doi/10.1016/j.matpr.2023.02.209?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2214785323007484
4,Chapter 8: MXene-based hybrid nanomaterials in photocatalysis,Mxene-Based Hybrid Nano-Architectures for Environmental Remediation and Sensor Applications,10.1016/B978-0-323-95515-7.00008-X,2024-12-31,https://api.elsevier.com/content/article/pii/B978032395515700008X,https://api.elsevier.com/content/article/doi/10.1016/B978-0-323-95515-7.00008-X?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/B978032395515700008X
5,Shining photocatalysis by gold-based nanomaterials,Nano Energy,10.1016/j.nanoen.2021.106306,2021-10-31,https://api.elsevier.com/content/article/pii/S2211285521005619,https://api.elsevier.com/content/article/doi/10.1016/j.nanoen.2021.106306?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2211285521005619
6,Influence of calcination temperature on the microstructure and photocatalysis performance of B/Sm-TiO<ce:inf loc=post>2</ce:inf> nanomaterials,Vacuum,10.1016/j.vacuum.2023.112063,2023-06-30,https://api.elsevier.com/content/article/pii/S0042207X23002609,https://api.elsevier.com/content/article/doi/10.1016/j.vacuum.2023.112063?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0042207X23002609
7,Shining light on the role of shape-controlled nanomaterials in photocatalysis,Current Opinion in Electrochemistry,10.1016/j.coelec.2020.100676,2021-04-30,https://api.elsevier.com/content/article/pii/S2451910320302313,https://api.elsevier.com/content/article/doi/10.1016/j.coelec.2020.100676?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2451910320302313
8,Construction and structural of p-CeCuO<ce:inf loc=post>3</ce:inf>/n-CeO<ce:inf loc=post>2</ce:inf> hybrid nanostructures for the photocatalysis driven by LED light system and industrial textile wastewater remediation,Inorganic Chemistry Communications,10.1016/j.inoche.2024.113418,2024-10-29,https://api.elsevier.com/content/article/pii/S1387700324014084,https://api.elsevier.com/content/article/doi/10.1016/j.inoche.2024.113418?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S1387700324014084
9,"Emergent carbonized polymer dots as versatile featured nanomaterial for latent fingerprints, colorimetric sensor, and photocatalysis applications",Materials Today Nano,10.1016/j.mtnano.2022.100246,2022-12-31,https://api.elsevier.com/content/article/pii/S2588842022000748,https://api.elsevier.com/content/article/doi/10.1016/j.mtnano.2022.100246?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2588842022000748
10,Selective graphene-like metal-free 2D nanomaterials and their composites for photocatalysis,Chemosphere,10.1016/j.chemosphere.2021.131254,2021-12-31,https://api.elsevier.com/content/article/pii/S0045653521017264,https://api.elsevier.com/content/article/doi/10.1016/j.chemosphere.2021.131254?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0045653521017264
11,Synergistic photocatalysis and superior supercapacitor performance of cerium-enriched monodispersed nanoarchitectures: Dual excellence,Materials Chemistry and Physics,10.1016/j.matchemphys.2024.129748,2024-10-01,https://api.elsevier.com/content/article/pii/S0254058424008733,https://api.elsevier.com/content/article/doi/10.1016/j.matchemphys.2024.129748?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0254058424008733
12,Revolutionizing microorganism inactivation: Magnetic nanomaterials in sustainable photocatalytic disinfection,Journal of Environmental Management,10.1016/j.jenvman.2024.122738,2024-11-30,https://api.elsevier.com/content/article/pii/S0301479724027245,https://api.elsevier.com/content/article/doi/10.1016/j.jenvman.2024.122738?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0301479724027245
13,How can heteroatoms boost the performance of photoactive nanomaterials for wastewater purification?,Journal of Environmental Management,10.1016/j.jenvman.2024.121808,2024-08-31,https://api.elsevier.com/content/article/pii/S0301479724017948,https://api.elsevier.com/content/article/doi/10.1016/j.jenvman.2024.121808?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0301479724017948
14,Dual green reduction mechanisms to prepare rGO-CoNPs nanocomposite using pomegranate peel extract: Electrochemical and photocatalysis applications,Chemical Physics Letters,10.1016/j.cplett.2024.141490,2024-09-16,https://api.elsevier.com/content/article/pii/S0009261424004329,https://api.elsevier.com/content/article/doi/10.1016/j.cplett.2024.141490?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0009261424004329
15,Design plasmonic nanostructure of silicon dioxide and titanium dioxide loaded on a nano surface for clean water production through photocatalysis and electrochemical techniques,Materials Research Bulletin,10.1016/j.materresbull.2024.113120,2025-02-28,https://api.elsevier.com/content/article/pii/S0025540824004495,https://api.elsevier.com/content/article/doi/10.1016/j.materresbull.2024.113120?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0025540824004495
16,Strategically engineering advanced nanomaterials for heavy-metal remediation from wastewater,Coordination Chemistry Reviews,10.1016/j.ccr.2024.216079,2024-11-01,https://api.elsevier.com/content/article/pii/S0010854524004259,https://api.elsevier.com/content/article/doi/10.1016/j.ccr.2024.216079?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0010854524004259
17,Versatile Ag<ce:inf loc=post>2</ce:inf>O and ZnO nanomaterials fabricated via annealed Ag-PMOS and ZnO-PMOS: An efficient photocatalysis tool for azo dyes,Journal of Molecular Liquids,10.1016/j.molliq.2022.119036,2022-06-15,https://api.elsevier.com/content/article/pii/S0167732222005748,https://api.elsevier.com/content/article/doi/10.1016/j.molliq.2022.119036?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0167732222005748
18,Revealing the membrane fouling behavior and interfacial interaction mechanism in a combined visible light photocatalysis-ultrafiltration system for advanced purification of NOM,Journal of Water Process Engineering,10.1016/j.jwpe.2023.104723,2024-01-31,https://api.elsevier.com/content/article/pii/S2214714423012436,https://api.elsevier.com/content/article/doi/10.1016/j.jwpe.2023.104723?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2214714423012436
19,Carbon dots-based nanocomposites for heterogeneous photocatalysis,Journal of Materials Science & Technology,10.1016/j.jmst.2023.08.023,2024-03-10,https://api.elsevier.com/content/article/pii/S1005030223007545,https://api.elsevier.com/content/article/doi/10.1016/j.jmst.2023.08.023?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S1005030223007545
20,Progress in nanomaterial-driven redox reactions for water purification: A critical review,Desalination and Water Treatment,10.1016/j.dwt.2024.100616,2024-10-31,https://api.elsevier.com/content/article/pii/S1944398624019544,https://api.elsevier.com/content/article/doi/10.1016/j.dwt.2024.100616?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S1944398624019544
21,Synergizing black gold and light: A comprehensive analysis of biochar-photocatalysis integration for green remediation,Carbon Capture Science & Technology,10.1016/j.ccst.2024.100315,2024-12-31,https://api.elsevier.com/content/article/pii/S2772656824001271,https://api.elsevier.com/content/article/doi/10.1016/j.ccst.2024.100315?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2772656824001271
22,2: Nanomaterials aspects for photocatalysis,Nanostructured Materials for Visible Light Photocatalysis,10.1016/B978-0-12-823018-3.00015-4,2022-12-31,https://api.elsevier.com/content/article/pii/B9780128230183000154,https://api.elsevier.com/content/article/doi/10.1016/B978-0-12-823018-3.00015-4?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/B9780128230183000154
